agency,committee_url,name,status,url_from,url_to
Department of Transportation,mailto:mike.savonis@dot.gov,"Advisory Committee on Synthesis and Assessment,   Impacts of Climate Variability and Change on Transportation Systems and Infrastructure, Gulf Coast Study",Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h2dEAAQ
World War I Centennial Commission,https://www.worldwar1centennial.org,World War I Centennial Commission,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzzCAAQ
Women's Suffrage Centennial Commission,https://www.womensvote100.org/,Women's Suffrage Centennial Commission,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001hFVOAA2
Surface Transportation Board,https://www.stb.gov/stb/rail/graincar_council.html,National Grain Car Council,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzzSAAQ
Tennessee Valley Authority,https://www.tva.com/rerc/,Regional Energy Resource Council,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzxKAAQ
Small Business Administration,mailto:eric.ness@sba.gov,Wisconsin District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h2TvAAI
Tennessee Valley Authority,https://www.tva.com/rrsc/,Regional Resource Stewardship Council,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzzJAAQ
Surface Transportation Board,http://www.stb.dot.gov/stb/rail/retac.html,Rail Energy Transportation Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzpkAAA
Small Business Administration,http://hhtp://cm.policyworks.gov/cms,West Virginia District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3S6AAI
Small Business Administration,mailto:eugene.cornelius@sba.gov,"Washington, D. C. District Advisory Council",Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h2T1AAI
Small Business Administration,http://cm.policyworks.gov/cms,Vermont District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3XEAAY
Small Business Administration,http://cm.policyworks.gov/cma,Utah District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3RnAAI
Small Business Administration,http://cm.policyworks.gov/cms,Santa Ana District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3WvAAI
Small Business Administration,http://cm.policyworks.gov/cms,Richmond District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3TPAAY
Small Business Administration,mailto:al.jones@sba.gov,Pittsburgh District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3SUAAY
Small Business Administration,mailto:philip.gentry@sba.gov,Oregon District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3WuAAI
Small Business Administration,mailto:lola.kress@sba.gov,North Florida District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h1PQAAY
Small Business Administration,http://cm.policyworks.gov/cms,Rhode Island District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3SDAAY
Small Business Administration,mailto:susan.walthall@sba.gov,National Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h1qwAAA
Small Business Administration,mailto:michelle.johnston@sba.gov,Montana District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3VDAAY
Small Business Administration,mailto:edward.daum@sba.gov,Minnesota District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3SjAAI
Small Business Administration,http://htttp://www.facadatabase.gov,Maine District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h2YpAAI
Small Business Administration,mailto:janice.wolfe@sba.gov,Indiana District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3TzAAI
Small Business Administration,mailto:sonia.maldonado@sba.gov,Houston District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h1UzAAI
Small Business Administration,mailto:randy.randolph@sba.gov,Louisiana District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3XbAAI
Small Business Administration,mailto:andrew.poepoe@sba.gov,Hawaii District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3TDAAY
Small Business Administration,mailto:marie.record@sba.gov,Connecticut District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3MhAAI
Small Business Administration,mailto:frank.ray@sba.gov,Columbus District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3SEAAY
Small Business Administration,mailto:kelly.lotempio@sba.gov,Buffalo District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h1USAAY
Small Business Administration,mailto:terri.denison@sba.gov,Georgia District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h2ThAAI
Small Business Administration,http://www.sba.gov/ombudsman,Region X Small Business Regulatory Fairness Board,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzwTAAQ
Small Business Administration,mailto:jack.wright@sba.gov,Alabama District Advisory Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3SCAAY
Small Business Administration,http://www.sba.gov/ombudsman,Region VI Small Business Regulatory Fairness Board,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzzZAAQ
Small Business Administration,http://www.sba.gov/ombudsman,Region VIII Small Business Regulatory Fairness Board,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzznAAA
Small Business Administration,http://www.sba.gov/ombudsman,Region VII Small Business Regulatory Fairness Board,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzvYAAQ
Small Business Administration,http://www.sba.gov/ombudsman,Region V Small Business Regulatory Fairness Board,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzwlAAA
Small Business Administration,http://www.sba.gov/ombudsman,Region IX Small Business Regulatory Fairness Board,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzwzAAA
Small Business Administration,http://www.sba.gov/ombudsman,Region IV Small Business Regulatory Fairness Board,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h00WAAQ
Small Business Administration,http://www.sba.gov/ombudsman,Region II Small Business Regulatory Fairness Board,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzkyAAA
Small Business Administration,http://www.sba.gov/ombudsman,Region III Small Business Regulatory Fairness Board,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzxYAAQ
Small Business Administration,mailto:anne.reim@sba.gov,National Small Business Development Center Advisory Board,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzwMAAQ
Small Business Administration,http://www.sba.gov/ombudsman,Region I Small Business Regulatory Fairness Board,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzwgAAA
Small Business Administration,http://www.nwbc.gov,National Women's Business Council,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzleAAA
Small Business Administration,https://www.sba.gov/ovbd,Interagency Task Force on Veterans Small Business Development,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzzMAAQ
Small Business Administration,mailto:richard.kingan@sba.gov,Council on Underserved Communities,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzzkAAA
Small Business Administration,mailto:timothy.gribben@sba.gov,Audit and Financial Management Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzvWAAQ
Small Business Administration,https://www.sba.gov/offices/headquarters/ovbd/resources/14397,Advisory Committee on Veterans Business Affairs,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzyCAAQ
Securities and Exchange Commission,http://www.sec.gov/spotlight/investoradvisorycommittee.htm,Securities and Exchange Commission Investor Advisory Committee,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h1wdAAA
Securities and Exchange Commission,mailto:hartleym@sec.gov,Consumer Affairs Advisory Committee,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h50VAAQ
Securities and Exchange Commission,mailto:hartleym@sec.gov,Market Transactions Advisory Committee,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h5QVAAY
Securities and Exchange Commission,http://www.cftc.gov/About/CFTCCommittees/CFTC-SECJointAdvisoryCommittee/index.htm  http://www.sec.gov/spotlight/sec-cftcjointcommittee.shtml,Joint CFTC-SEC Advisory Committee on Emerging Regulatory Issues,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h0wUAAQ
Securities and Exchange Commission,http://www.sec.gov/info/smallbus/acsec.shtml,Securities and Exchange Commission Advisory Committee on Small and Emerging Companies,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h0CJAAY
Securities and Exchange Commission,http://www.sec.gov/divisions/marketreg/marketinfo,Advisory Committee on Market Information,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h4NVAAY
Securities and Exchange Commission,http://www.sec.gov/about/offices/oca/acifr.shtml,Securities and Exchange Commission Advisory Committee on Improvements to Financial Reporting,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h2TmAAI
Securities and Exchange Commission,http://www.sec.gov/info/smallbus/acspc.shtml,Advisory Committee on Smaller Public Companies,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h2y1AAA
Securities and Exchange Commission,https://www.sec.gov/spotlight/fixed-income-advisory-committee,Securities and Exchange Commission Fixed Income Market Structure Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzyIAAQ
Peace Corps,mailto:chughes@peacecorps.gov,Peace  Corps National Advisory Committee,Administratively Inactive,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzlFAAQ
Securities and Exchange Commission,https://www.sec.gov/spotlight/equity-market-structure-advisory-committee.shtml,Securities and Exchange Commission Equity Market Structure Advisory Committee,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzwsAAA
Railroad Retirement Board,mailto:pruitpa@rrb.gov,Actuarial Advisory Committee with respect to the Railroad Retirement Account,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzlkAAA
Office of the United States Trade Representative,mailto:molly.l.foley@ustr.eop.gov,Trade and Environment Policy Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h00HAAQ
Office of the United States Trade Representative,mailto:molly.l.foley@ustr.eop.gov,Trade Advisory Committee on Africa,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzzlAAA
Office of the United States Trade Representative,mailto:molly.l.foley@ustr.eop.gov,Intergovernmental Policy Advisory Committee on Trade,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzzpAAA
Office of the United States Trade Representative,mailto:molly.l.foley@ustr.eop.gov,Advisory Committee for Trade Policy and Negotiations,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzwhAAA
Office of Personnel Management,http://www.lmrcouncil.gov,National Council on Federal Labor-Management Relations,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h0GjAAI
Office of Personnel Management,http://opm.gov/npc,National Partnership Council,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h4N1AAI
Office of Personnel Management,http://www.opm.gov/cfc/CFC50_Commission/index.asp,CFC-50 Commission,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h1VLAAY
Office of Personnel Management,http://www.whitehouse.gov/about/fellows,President's Commission on White House Fellowships,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzziAAA
Office of Personnel Management,mailto:bvswanso@opm.gov,Advisory Committee on Expanding Training Opportunities,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3wHAAQ
Office of Personnel Management,http://www.opm.gov/policy-data-oversight/pay-leave/pay-systems/general-schedule/#url=Federal-Salary-Council,Federal Salary Council,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzzFAAQ
Office of Personnel Management,http://www.opm.gov/fprac,Federal Prevailing Rate Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzucAAA
Office of Personnel Management,mailto:greg.kissel@opm.gov,Civil Service Retirement System Board of Actuaries Advisory Committee,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzxpAAA
Office of Personnel Management,https://www.opm.gov/policy-data-oversight/diversity-and-inclusion/reference-materials/hispanic-council/,Hispanic Council on Federal Employment,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzyAAAQ
Office of National Drug Control Policy,mailto:daniel_r._petersen@ondcp.eop.gov,"Drug Control Research, Data, and Evaluation Committee",Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h2wkAAA
Office of National Drug Control Policy,http://none,Advisory Commission on Drug-Free Communities,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h2wCAAQ
Office of National Drug Control Policy,https://www.whitehouse.gov/ondcp/presidents-commission,President's Commission on Combating Drug Addiction and the Opioid Crisis,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzwaAAA
Nuclear Regulatory Commission,mailto:atm@nrc.gov,Independent External Review Panel To Identify Vulnerabilities In The U.S. Nuclear Regulatory Commission's Material Licensing Program,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h2UpAAI
Nuclear Regulatory Commission,mailto:mct@nrc.gov,Pilot Program Evaluation Panel,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h4TxAAI
Nuclear Regulatory Commission,mailto:jdm@nrc.gov,Reactor Oversight Process Initial Implementation Evaluation Panel,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h4LrAAI
Nuclear Regulatory Commission,mailto:jxc5@nrc.gov,Nuclear Safety Research Review Committee,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h5RKAAY
Nuclear Regulatory Commission,http://www.nrc.gov/about-nrc/regulatory/advisory/acmui.html,Advisory Committee on the Medical Uses of Isotopes,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzwPAAQ
Nuclear Regulatory Commission,mailto:msk@nrc.gov,Advisory Committee on Nuclear Waste,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h2ZmAAI
Nuclear Regulatory Commission,http://www.nrc.gov/about-nrc/organization/acrsfuncdesc.html,Advisory Committee on Reactor Safeguards,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzx0AAA
National Science Foundation,mailto:tspence@nsf.gov,U.S. National Assessment Synthesis Team,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h4N7AAI
Nuclear Regulatory Commission,mailto:russell.chazell@nrc.gov,Licensing Support Network Advisory Review Panel,Chartered,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001gzvdAAA
National Science Foundation,mailto:msieverts@nsf.gov,Public Affairs Advisory Group,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3ygAAA
National Science Foundation,mailto:jferrini@nsf.gov,"Proposal Review Panel for Research, Evaluation, and Communication",Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h2wcAAA
National Science Foundation,mailto:dbarnes@nsf.gov,Proposal Review Panel for Experimental Programs to Stimulate Competitive Research,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h1NaAAI
National Science Foundation,mailto:banderso@nsf.gov,Proposal Review Panel for Educational System Reform,Terminated,https://www.facadatabase.gov/FACA/apex/FACAPublicAgencyNavigation,https://www.facadatabase.gov/FACA/apex/FACAPublicCommittee?id=a10t0000001h3SaAAI
